Ensembl.Gene,DrugA.vs.Ctrl,DrugB.vs.Ctrl,DrugB.vs.DrugA
ENSG00000125462,0.009081268,0.000111834,0.175858955
ENSG00000132702,0.014667227,4.31E-05,0.024422783
ENSG00000223668,0.083985424,0.134618221,0.496085331
ENSG00000159289,0.03653775,5.51E-06,0.000101361
ENSG00000226393,0.046266185,0.002367531,0.684164698
ENSG00000256618,0.405931194,0.023867123,0.976487326
ENSG00000116962,0.047224143,0.132548826,0.038689988
ENSG00000121104,0.037861899,0.000131103,0.005073739
ENSG00000187479,0.062465093,3.52E-06,2.08E-06
ENSG00000189056,0.059350984,1.54E-05,1.12E-05
ENSG00000183044,0.072033139,0.000181023,0.007775452
ENSG00000237693,0.03609631,0.842177642,0.009347629
ENSG00000167861,0.131392081,0.002873984,0.347982616
ENSG00000188738,0.032982812,0.021272576,0.290616636
ENSG00000108830,0.166223399,8.42E-05,0.003077507
ENSG00000128591,0.113326958,2.07E-05,0.010909661
ENSG00000113140,0.269917221,0.001951575,0.711411971
ENSG00000072182,0.124251048,6.38E-06,3.44E-05
ENSG00000100253,0.124251048,4.82E-07,1.15E-06
ENSG00000188888,0.089590995,0.002589849,0.150333461
ENSG00000155980,0.038657021,3.29E-05,0.002768357
ENSG00000081479,0.159049111,0.011757747,0.73739967
ENSG00000112182,0.00392531,3.94E-05,0.150363264
ENSG00000081148,0.126336197,0.0014645,0.024453005
ENSG00000111405,0.115495945,0.000301446,0.003969615
ENSG00000233029,0.142842609,0.000268418,0.005361655
ENSG00000136695,0.164407888,3.83E-05,0.000898442
ENSG00000215186,0.164407888,6.26E-06,4.91E-05
ENSG00000164591,0.143768567,0.000136837,0.002060836
ENSG00000157152,0.014276972,0.471195982,0.005941247
ENSG00000154645,0.215345922,0.000152631,0.003477172
ENSG00000224124,0.086717939,5.01E-05,0.001398669
ENSG00000095932,0.1802367,2.02E-05,4.23E-05
ENSG00000143867,0.161287973,0.006226041,0.137651024
ENSG00000152439,0.211656911,0.057686248,0.995417481
ENSG00000070886,0.18056764,1.07E-05,1.61E-05
ENSG00000186417,0.073065832,0.629219549,0.019667571
ENSG00000132563,0.339444703,0.000355467,0.183734974
ENSG00000248394,0.199501446,0.000621461,0.007654086
ENSG00000264063,0.057455583,0.336590476,0.04537047
ENSG00000178977,1.81E-05,8.98E-08,0.479686035
ENSG00000164076,0.239079097,1.74E-05,8.07E-05
ENSG00000130287,0.239079097,6.47E-05,0.000804831
ENSG00000154553,0.033385529,0.014884591,0.526882804
ENSG00000259238,0.175823517,0.017123268,0.627718587
ENSG00000205978,0.058679886,0.010103048,0.755982198
ENSG00000165238,0.499848214,0.01403785,0.630782675
ENSG00000091656,0.064701,0.178704868,0.107498952
ENSG00000039600,0.205923984,0.000307135,0.001623033
ENSG00000255145,0.106305404,0.000247031,0.010697025
ENSG00000060982,0.072902271,0.853434664,0.035238044
ENSG00000225039,0.05777898,0.003088273,0.6556888
ENSG00000169876,0.138251842,0.001874264,0.132286112
ENSG00000250007,0.235387531,0.011149919,0.088890694
ENSG00000168356,0.260403198,3.83E-05,0.000450802
ENSG00000251292,0.260403198,2.18E-05,0.000197357
ENSG00000175414,0.151700382,0.043471879,0.674675302
ENSG00000204420,0.234897372,6.27E-06,2.71E-06
ENSG00000260898,0.244787595,0.000103889,4.94E-05
ENSG00000173705,0.229077677,0.000807995,0.003971142
ENSG00000216624,0.152566265,0.045994754,0.764257051
ENSG00000230641,0.117748376,0.000219505,0.003495041
ENSG00000140107,0.247253553,0.000132567,0.000602693
ENSG00000154025,0.081580384,7.13E-05,0.002427574
ENSG00000189325,0.249196262,6.24E-05,0.000194716
ENSG00000224959,0.154122277,0.022163545,0.715684465
ENSG00000079393,0.050349637,0.076397213,0.29250999
ENSG00000260929,0.126798056,6.95E-06,1.39E-05
ENSG00000269843,0.126798056,0.000738554,0.016468518
ENSG00000272556,0.006364111,0.669426719,0.001084173
ENSG00000139364,0.148943782,0.000464688,0.01813527
ENSG00000168676,0.14732121,0.000274677,0.005952383
ENSG00000090920,0.134631806,1.45E-05,1.60E-05
ENSG00000245573,0.071622636,0.53027687,0.021296225
ENSG00000132718,0.079578408,0.14759176,0.213907971
ENSG00000164037,0.102565798,0.000117555,0.001606829
ENSG00000164796,0.102897215,0.011305406,0.568550204
ENSG00000243116,0.222231076,8.15E-05,0.00183333
ENSG00000218336,0.201310433,0.152181506,0.312820091
ENSG00000164972,0.224362114,1.81E-05,0.000161905
ENSG00000257543,0.293319587,0.002876313,0.010605527
ENSG00000258791,0.286780555,6.10E-06,6.23E-07
ENSG00000141485,0.315358305,1.45E-05,1.85E-05
ENSG00000165071,0.415115458,5.08E-05,0.001832894
ENSG00000205853,0.415115458,8.22E-06,0.000167524
ENSG00000126500,0.331405597,0.001404576,0.11177091
ENSG00000260618,0.170965151,0.000360374,0.019468001
ENSG00000131409,0.253726004,0.000448187,0.034525652
ENSG00000260729,0.318193804,4.58E-05,0.000157416
ENSG00000272622,0.293672224,0.00047188,0.001985278
ENSG00000214212,0.299189871,4.13E-05,8.02E-06
ENSG00000146013,0.164386991,0.000316188,0.005580925
ENSG00000007216,0.031886005,0.448098867,0.033999345
ENSG00000235899,0.18223628,0.333851781,0.013779843
ENSG00000166257,0.080340126,9.53E-07,4.82E-07
ENSG00000198208,0.221575258,0.00165895,0.038860924
ENSG00000100167,0.221575258,0.00130779,0.035060531
ENSG00000248280,0.089862176,0.272471958,0.003395842
ENSG00000263105,0.024911313,0.579078685,0.000872502
ENSG00000139219,0.370644863,0.014170284,0.803116096
ENSG00000187475,0.255537674,0.002802577,0.092354127
ENSG00000207561,0.065120519,0.070441474,0.36095024
ENSG00000164675,0.109876791,0.12373616,0.396935022
ENSG00000254506,0.156766063,0.03205225,0.75065482
ENSG00000136425,0.049305363,0.00396741,0.97749141
ENSG00000124721,0.227651868,0.006855893,0.262703208
ENSG00000159784,0.100311233,5.27E-06,9.94E-05
ENSG00000074966,0.175100821,0.000198406,0.004687432
ENSG00000226944,0.101994898,0.671539401,0.070129732
ENSG00000138336,0.216021429,0.000131881,0.040498628
ENSG00000175820,0.364381127,3.51E-05,0.001115345
ENSG00000167483,0.247821322,2.42E-05,0.000157517
ENSG00000105261,0.215987932,3.21E-06,3.17E-07
ENSG00000269652,0.442061651,0.001478042,0.010556081
ENSG00000207870,0.397953374,0.000212922,0.000657251
ENSG00000185482,0.123999978,0.014181879,0.69158281
ENSG00000116690,0.090120276,0.000204252,0.008737114
ENSG00000100077,0.091750304,0.008383646,0.73974155
ENSG00000186153,0.077970078,0.929474379,0.024666044
ENSG00000178789,0.209075417,0.01701048,0.001409396
ENSG00000198794,0.017546608,0.580923992,0.001124839
ENSG00000259726,0.263487632,0.000227956,0.007410525
ENSG00000164849,0.025909096,0.004538832,0.836901159
ENSG00000248925,0.172318045,0.001941536,0.047918062
ENSG00000236679,0.10481229,0.00090338,0.0594103
ENSG00000132965,0.12894052,0.930839522,0.02286531
ENSG00000106624,0.12838465,0.000866798,0.014804021
