Ensembl.Gene,DrugA.vs.Ctrl,DrugB.vs.Ctrl,DrugB.vs.DrugA
ENSG00000125462,3.704686968,4.481837848,0.773196036
ENSG00000132702,3.439485675,4.768679452,1.325731737
ENSG00000223668,3.234782438,2.323548056,-0.919237755
ENSG00000159289,2.931772037,5.76530352,2.830119772
ENSG00000226393,2.869264356,3.176938769,0.303854744
ENSG00000256618,2.837509256,2.792428135,-0.05460618
ENSG00000116962,2.83383348,1.027422248,-1.811719293
ENSG00000121104,2.802373893,4.405684559,1.600611293
ENSG00000187479,2.59426767,6.582417295,3.98359661
ENSG00000189056,2.577237506,6.032326604,3.451753454
ENSG00000183044,2.474097753,4.155161466,1.676641454
ENSG00000237693,2.464370981,0.183989167,-2.284619427
ENSG00000167861,2.457536299,3.161950686,0.69936973
ENSG00000188738,2.404735754,1.811862422,-0.597994911
ENSG00000108830,2.372789485,4.553367454,2.174639337
ENSG00000128591,2.369628236,3.98835446,1.614146009
ENSG00000113140,2.337181019,2.74081008,0.397119972
ENSG00000072182,2.319100833,6.293028992,3.969077646
ENSG00000100253,2.319100833,7.137663509,4.81444856
ENSG00000188888,2.311206928,3.293255395,0.977917639
ENSG00000155980,2.277396036,3.867316665,1.585854102
ENSG00000081479,2.277063988,1.99044246,-0.292710855
ENSG00000112182,2.270217588,2.735476046,0.461401752
ENSG00000081148,2.147429286,3.494769723,1.343622658
ENSG00000111405,2.11975215,3.912094503,1.789635141
ENSG00000233029,2.086416082,4.03626676,1.944950041
ENSG00000136695,2.076993036,4.825984839,2.745177106
ENSG00000215186,2.076993036,5.703416835,3.622715596
ENSG00000164591,2.067887791,4.239105439,2.167589463
ENSG00000157152,2.064877275,0.472072506,-1.595936658
ENSG00000154645,1.986937903,4.336533495,2.345883852
ENSG00000224124,1.974304982,3.918572752,1.940138688
ENSG00000095932,1.959207153,5.112437107,3.149927524
ENSG00000143867,1.954475118,2.822291393,0.865125713
ENSG00000152439,1.906179982,1.904268449,-0.005084513
ENSG00000070886,1.887075454,5.381793603,3.491390659
ENSG00000186417,1.88123163,0.414567412,-1.469240686
ENSG00000132563,1.879070865,3.129841802,1.244236627
ENSG00000248394,1.867050796,3.72263913,1.850185812
ENSG00000264063,1.847488245,0.563684076,-1.290371715
ENSG00000178977,1.847184726,1.94308838,0.092267841
ENSG00000164076,1.842904989,5.278280496,3.431028756
ENSG00000130287,1.842904989,4.551789326,2.704882129
ENSG00000154553,1.828270449,1.554196378,-0.278444014
ENSG00000259238,1.8273689,2.22149989,0.392547615
ENSG00000205978,1.823350261,1.657659702,-0.170172119
ENSG00000165238,1.806400573,2.450685311,0.639056246
ENSG00000091656,1.793525089,0.829881781,-0.967964815
ENSG00000039600,1.757182633,3.912134675,2.151869378
ENSG00000255145,1.756413206,3.189297393,1.42915364
ENSG00000060982,1.75094318,0.147839006,-1.608986662
ENSG00000225039,1.716972302,1.939785925,0.220273733
ENSG00000169876,1.716129703,2.608262174,0.887924801
ENSG00000250007,1.710337048,2.689731403,0.976711382
ENSG00000168356,1.709381212,4.825984839,3.113100425
ENSG00000251292,1.709381212,5.087417503,3.374596841
ENSG00000175414,1.698640726,1.409105177,-0.293443856
ENSG00000204420,1.696833767,5.652142061,3.952841087
ENSG00000260898,1.693935853,4.630332222,2.931527457
ENSG00000173705,1.692009789,3.565633791,1.87093276
ENSG00000216624,1.672006705,1.461155575,-0.216840517
ENSG00000230641,1.664936965,3.209341635,1.54028009
ENSG00000140107,1.663497622,4.305199367,2.637295959
ENSG00000154025,1.650989322,3.204642054,1.550012634
ENSG00000189325,1.644969331,4.587397576,2.939497376
ENSG00000224959,1.640217063,1.852390378,0.209098755
ENSG00000079393,1.633907879,1.133720627,-0.504636306
ENSG00000260929,1.621037524,4.402589828,2.778468879
ENSG00000269843,1.621037524,3.035226553,1.411842719
ENSG00000272556,1.617658454,0.193808262,-1.427145939
ENSG00000139364,1.610598979,2.989928564,1.375034909
ENSG00000168676,1.589292739,3.111595529,1.51901589
ENSG00000090920,1.586786467,4.197139143,2.606997537
ENSG00000245573,1.586569653,0.45017347,-1.140194722
ENSG00000132718,1.562099299,0.963480423,-0.602661535
ENSG00000164037,1.56096683,3.396434283,1.832618984
ENSG00000164796,1.560439957,1.886400931,0.321309547
ENSG00000243116,1.5528371,3.727685041,2.171718678
ENSG00000218336,1.549619929,0.786575687,-0.76845824
ENSG00000164972,1.549228797,4.371938621,2.818033493
ENSG00000257543,1.547845597,3.231846274,1.679609695
ENSG00000258791,1.545767849,5.832107757,4.281717239
ENSG00000141485,1.539204259,5.552197373,4.008813487
ENSG00000165071,1.524937693,4.705144877,3.175590802
ENSG00000205853,1.524937693,5.602059053,4.072688186
ENSG00000126500,1.524824244,2.823337623,1.293934521
ENSG00000260618,1.521596119,2.977706025,1.454354225
ENSG00000131409,1.520927404,2.979425582,1.454144279
ENSG00000260729,1.520675967,4.703744232,3.18041894
ENSG00000272622,1.513862615,3.753585822,2.236925135
ENSG00000214212,1.509132487,5.06729313,3.556109403
ENSG00000146013,1.500869144,3.0950035,1.591397594
ENSG00000007216,1.490422097,0.426755214,-1.068520438
ENSG00000235899,1.480902511,-0.963895182,-2.447568281
ENSG00000166257,1.475475112,4.471133996,2.991580155
ENSG00000198208,1.460225703,2.687340314,1.22268009
ENSG00000100167,1.460225703,2.675454417,1.210186179
ENSG00000248280,1.451706522,-0.882546009,-2.338841022
ENSG00000263105,1.448832489,-0.316983338,-1.769252581
ENSG00000139219,1.445255665,1.679427768,0.228756325
ENSG00000187475,1.429060461,2.581064221,1.148161676
ENSG00000207561,1.413553438,0.996959883,-0.420257197
ENSG00000164675,1.408950367,0.952269389,-0.459857973
ENSG00000254506,1.404616089,1.581991697,0.172015746
ENSG00000136425,1.402102359,1.419080068,0.012592955
ENSG00000124721,1.400534478,2.158817667,0.754677079
ENSG00000159784,1.392614818,3.407026701,2.010049111
ENSG00000074966,1.383180875,2.990748812,1.603904581
ENSG00000226944,1.38289905,0.295768512,-1.089671654
ENSG00000138336,1.380129293,2.556440667,1.170974557
ENSG00000175820,1.372844501,4.054202833,2.676758308
ENSG00000167483,1.366253439,3.929549225,2.559631732
ENSG00000105261,1.360195145,4.963477701,3.600626568
ENSG00000269652,1.359449592,3.381692467,2.021004314
ENSG00000207870,1.35723045,4.153455365,2.792850108
ENSG00000185482,1.351562302,1.55934211,0.2036626
ENSG00000116690,1.346666247,2.557308921,1.208087341
ENSG00000100077,1.343885322,1.498938448,0.150970846
ENSG00000186153,1.337781376,0.057383739,-1.283859523
ENSG00000178789,1.336264392,-2.382572737,-3.722977441
ENSG00000198794,1.335746409,-0.252093998,-1.591404417
ENSG00000259726,1.335231505,3.188693081,1.849897145
ENSG00000164849,1.32961197,1.407834718,0.075283188
ENSG00000248925,1.327426644,2.2736561,0.943087468
ENSG00000236679,1.311610937,2.176833197,0.861339909
ENSG00000132965,1.307701154,-0.066106516,-1.377217665
ENSG00000106624,1.306654758,2.666076714,1.354606846
ENSG00000186472,1.302752481,2.375125202,1.068658442
ENSG00000228051,1.3023788,1.947123245,0.6399953
ENSG00000120262,1.299768471,4.059070613,2.753964662
ENSG00000270022,1.299144956,4.75977777,3.45773826
ENSG00000227456,1.297475515,2.861869363,1.560609163
ENSG00000197697,1.295885831,3.790895391,2.49126139
ENSG00000104941,1.295885831,5.629235859,4.329344931
ENSG00000197587,1.294768003,-0.2613284,-1.559423612
ENSG00000234571,1.287942735,4.706618976,3.415881733
ENSG00000143631,1.286534654,2.281379637,0.990664883
ENSG00000167157,1.284696596,3.242375885,1.953519815
ENSG00000205863,1.284696596,4.156381725,2.868224946
ENSG00000185668,1.282823724,5.380751585,4.092352923
ENSG00000157343,1.282823724,5.703416835,4.416279355
ENSG00000104879,1.282823724,5.819698032,4.532669113
ENSG00000107593,1.277357539,5.134571156,3.854211119
ENSG00000256537,1.276040169,0.753343634,-0.527125419
ENSG00000000938,1.275616471,3.90476369,2.625602362
ENSG00000226979,1.275616471,4.667092863,3.388068193
ENSG00000250584,1.274472411,1.03913455,-0.238691197
ENSG00000168542,1.272909808,2.833959076,1.555274726
ENSG00000229828,1.272405148,2.22971158,0.953821351
ENSG00000268087,1.271502875,1.674578138,0.399526926
