"gene","avg_logFC","Enriched_in_Cluster"
"HBG1",4.7391173376877,"MC_0"
"RHAG",1.98644571561821,"MC_0"
"LOC648232",1.92127604046251,"MC_0"
"RHOXF2B",1.74954602692745,"MC_0"
"GAGE4",2.97938267097921,"MC_0"
"HBG2",5.64493966679145,"MC_0"
"GAGE2D",2.19163547249916,"MC_0"
"GATA1",1.39317839796113,"MC_0"
"MYL4",1.14305157200929,"MC_0"
"CSAG1",0.882192362473996,"MC_0"
"GAGE12J",1.41861161794075,"MC_0"
"GAGE12D",1.81570552384509,"MC_0"
"HBA2",1.99648837511535,"MC_0"
"GAGE2C",1.38002835267233,"MC_0"
"HBE1",2.55235488684184,"MC_0"
"HBA1",1.62199678106185,"MC_0"
"PRAME",2.9691504159344,"MC_0"
"RFESD",1.30346672545644,"MC_0"
"NMU",1.48475055759525,"MC_0"
"GAGE1",1.02434346987116,"MC_0"
"GAGE8",1.28152180659935,"MC_0"
"ACSM3",1.53148451766863,"MC_0"
"LOC653513",0.884826680636531,"MC_0"
"GTSF1",1.70053312456874,"MC_0"
"HBBP1",1.18695083054881,"MC_0"
"MPP1",1.18960503244132,"MC_0"
"ZNF595",0.954616320530074,"MC_0"
"HIST1H2BK",2.15484425676896,"MC_0"
"UQCRH",1.17786794508747,"MC_0"
"APOC1",0.963284587249244,"MC_0"
"XAGE1D",0.906936462564162,"MC_0"
"UROD",1.47868442626073,"MC_0"
"MRPL40",1.17385884929788,"MC_0"
"ATP6V1F",1.10432199136016,"MC_0"
"UBE2L3",1.16479035456494,"MC_0"
"FADS1",1.00319593784454,"MC_0"
"BLVRB",1.13546264522863,"MC_0"
"ATP5B",0.870265395986407,"MC_0"
"HBZ",0.994189172789403,"MC_0"
"IFITM1",1.31728068775044,"MC_0"
"UFD1L",1.05431150499123,"MC_0"
"HIST1H1C",1.25728675528847,"MC_0"
"CDC45",1.0772187068062,"MC_0"
"ATP5G3",1.35612991087804,"MC_0"
"GAGE12F",0.893798410225934,"MC_0"
"GLUL",1.03213481322813,"MC_0"
"HMBS",0.953745456486122,"MC_0"
"SNHG3",0.866088002504158,"MC_0"
"ENSG00000228253",0.990873372186917,"MC_0"
"SNAR-B2",1.10996360153678,"MC_0"
"FXYD6",1.76195573939673,"MC_1"
"FABP7",2.58600912913047,"MC_1"
"FOXG1",1.49967917414844,"MC_1"
"TUBB2B",1.81735973030968,"MC_1"
"NNAT",2.50599622212556,"MC_1"
"DCX",1.91747492744243,"MC_1"
"GPM6A",2.04435039386507,"MC_1"
"RTN1",2.09849881118268,"MC_1"
"MAP2",1.65428150628228,"MC_1"
"SOX11",2.89746494638712,"MC_1"
"STMN2",2.96401762185704,"MC_1"
"C1orf61",2.23384193138078,"MC_1"
"TMSB15A",2.17813730626448,"MC_1"
"MAP1B",2.49728041645436,"MC_1"
"FAM171B",2.07824641709086,"MC_1"
"MARCKS",2.0886296656474,"MC_1"
"TUBA1A",2.42111241761738,"MC_1"
"NEUROD6",1.34713472815973,"MC_1"
"DPYSL2",2.36626880705677,"MC_1"
"LOC150568",1.383308575514,"MC_1"
"GAP43",1.63515812487842,"MC_1"
"PTN",2.11405485566092,"MC_1"
"CDO1",1.67284455461138,"MC_1"
"SOX4",2.58964343861091,"MC_1"
"NREP",2.14402946153971,"MC_1"
"IGFBPL1",2.7945617219381,"MC_1"
"NGFRAP1",1.40918152594822,"MC_1"
"MN1",1.39096600335289,"MC_1"
"TUBB3",1.61563224492749,"MC_1"
"ENC1",1.56035905083211,"MC_1"
"C14orf23",1.3687986726861,"MC_1"
"NPY",1.51145316544494,"MC_1"
"TCF4",1.39284168002604,"MC_1"
"MARCH6",1.37827485278398,"MC_1"
"NFIB",1.83613649885972,"MC_1"
"BX647608",1.5718818735392,"MC_1"
"CNN3",1.39247320407182,"MC_1"
"BC033961",1.65091161933816,"MC_1"
"ARRDC3",1.45824430807754,"MC_1"
"TSPAN7",1.35986914239908,"MC_1"
"CXADR",1.46704843473312,"MC_1"
"PTBLP",1.64115930706225,"MC_1"
"TUBB2A",2.17474565277871,"MC_1"
"MLLT11",2.49719282372888,"MC_1"
"CSRP2",1.7096947894331,"MC_1"
"CLU",1.60559147935727,"MC_1"
"MAGED2",1.61183316151959,"MC_1"
"EGR1",1.90778558006955,"MC_1"
"FOS",2.32318852353988,"MC_1"
"PRMT2",1.39090141949512,"MC_1"
"PRTN3",0.975258783008732,"MC_2"
"CTSG",1.60824245744804,"MC_2"
"CST7",1.14641539662234,"MC_2"
"MPO",4.24276585807081,"MC_2"
"PRG2",4.74570567901546,"MC_2"
"LAT2",1.0809370718236,"MC_2"
"MS4A3",1.42827700544955,"MC_2"
"PLAC8",1.28492834248025,"MC_2"
"NCF4",1.05101115804835,"MC_2"
"RNASE2",1.10799017038219,"MC_2"
"MNDA",0.830903146292341,"MC_2"
"SRGN",2.53771998041161,"MC_2"
"ARHGDIB",2.14049734935416,"MC_2"
"AIF1",1.36136899683257,"MC_2"
"MZB1",0.917419741375768,"MC_2"
"RPL17",1.03846817441537,"MC_2"
"NUCB2",1.65547319147633,"MC_2"
"PTMA",0.96581581827406,"MC_2"
"MYC",1.32205786165601,"MC_2"
"VAMP8",1.38427623832046,"MC_2"
"PTPN6",0.849435400416731,"MC_2"
"RPL9_3",1.24351958169258,"MC_2"
"ENSG00000198840",1.06843301229815,"MC_2"
"FAM46A",1.09450120268219,"MC_2"
"ATP5I",0.876903134917263,"MC_2"
"E02193",1.27954058802078,"MC_2"
"HSH2D",0.86063242237523,"MC_2"
"CALR",0.951404252578939,"MC_2"
"RPS2",0.80170662548348,"MC_2"
"TXNL4A",0.801240825806411,"MC_2"
"ENSG00000198695",1.16075363721002,"MC_2"
"UBL5",0.848826578170286,"MC_2"
"AK022787",0.862031067042197,"MC_2"
"FBL",0.995565468183342,"MC_2"
"ATF4",0.854939129853364,"MC_2"
"P4HB",0.937811419241487,"MC_2"
"LOC100132247_2",0.985676985690454,"MC_2"
"LCP1",0.797948432843747,"MC_2"
"GRPEL1",1.032741153761,"MC_2"
"LOC440354",0.838763660018758,"MC_2"
"SLC43A3",0.847751351827933,"MC_2"
"USP36",0.796329206368663,"MC_2"
"DKFZp667P0924",0.821972802966521,"MC_2"
"BC064137",0.812662116461779,"MC_2"
"LOC23117",0.918434159538871,"MC_2"
"TIMM13",0.822313122065222,"MC_2"
"TRAP1",1.07066897372822,"MC_2"
"SLC29A1",0.859855302698799,"MC_2"
"PNP",0.92328660363851,"MC_2"
"RPL9_2",0.9036951447417,"MC_2"
"FGFBP1",2.78759014998183,"MC_3"
"PTHLH",1.55524811999114,"MC_3"
"GJB5",1.04182060411702,"MC_3"
"TMEM40",1.03427529379876,"MC_3"
"KRT14",3.57536572267522,"MC_3"
"COL17A1",1.52169041380746,"MC_3"
"KRT5",2.08888705085295,"MC_3"
"LAMC2",1.74144834246724,"MC_3"
