"SampleID","CellType","DiseaseState","Source_MitochondrialRate","Tissue","nGene"
"SRR1274084","iPSC-derived NPC","normal control",0.0371,"foreskin",4378
"SRR1274085","iPSC-derived NPC","normal control",0.0257,"foreskin",6593
"SRR1274086","iPSC-derived NPC","normal control",0.0264,"foreskin",4153
"SRR1274087","iPSC-derived NPC","normal control",0.0616,"foreskin",5724
"SRR1274088","iPSC-derived NPC","normal control",0.0615,"foreskin",3381
"SRR1274089","iPSC-derived NPC","normal control",0.0363,"foreskin",6456
"SRR1274090","iPSC-derived NPC","normal control",0.0369,"foreskin",3918
"SRR1274091","","chronic myeloid leukemia (CML)",0.0613,"bone marrow",10108
"SRR1274092","epidermal keratinocyte","normal control",0.033,"foreskin",5324
"SRR1274093","epidermal keratinocyte","normal control",0.0249,"foreskin",7198
"SRR1274094","epidermal keratinocyte","normal control",0.0244,"foreskin",5857
"SRR1274095","epidermal keratinocyte","normal control",0.0375,"foreskin",7331
"SRR1274096","epidermal keratinocyte","normal control",0.0363,"foreskin",6105
"SRR1274097","epidermal keratinocyte","normal control",0.0471,"foreskin",7180
"SRR1274098","epidermal keratinocyte","normal control",0.0446,"foreskin",5919
"SRR1274099","epidermal keratinocyte","normal control",0.0554,"foreskin",4974
"SRR1274100","epidermal keratinocyte","normal control",0.054,"foreskin",4239
"SRR1274101","epidermal keratinocyte","normal control",0.0256,"foreskin",6747
"SRR1274102","epidermal keratinocyte","normal control",0.0248,"foreskin",5345
"SRR1274103","epidermal keratinocyte","normal control",0.0251,"foreskin",7250
"SRR1274104","epidermal keratinocyte","normal control",0.0252,"foreskin",5489
"SRR1274105","epidermal keratinocyte","normal control",0.0324,"foreskin",6988
"SRR1274106","epidermal keratinocyte","normal control",0.0307,"foreskin",5165
"SRR1274107","epidermal keratinocyte","normal control",0.0216,"foreskin",7794
"SRR1274108","epidermal keratinocyte","normal control",0.0217,"foreskin",5721
"SRR1274109","epidermal keratinocyte","normal control",0.0401,"foreskin",6533
"SRR1274110","epidermal keratinocyte","normal control",0.0407,"foreskin",5386
"SRR1274111","iPSC-derived NPC","normal control",0.0274,"foreskin",5337
"SRR1274112","iPSC-derived NPC","normal control",0.0284,"foreskin",3277
"SRR1274113","iPSC-derived NPC","normal control",0.0376,"foreskin",5424
"SRR1274114","iPSC-derived NPC","normal control",0.0383,"foreskin",3327
"SRR1274115","iPSC-derived NPC","normal control",0.0326,"foreskin",6487
"SRR1274116","iPSC-derived NPC","normal control",0.0335,"foreskin",4184
"SRR1274117","iPSC-derived NPC","normal control",0.025,"foreskin",6490
"SRR1274118","iPSC-derived NPC","normal control",0.0245,"foreskin",3747
"SRR1274119","iPSC-derived NPC","normal control",0.0321,"foreskin",5450
"SRR1274120","iPSC-derived NPC","normal control",0.0328,"foreskin",3250
"SRR1274121","iPSC-derived NPC","normal control",0.0204,"foreskin",5869
"SRR1274122","iPSC-derived NPC","normal control",0.0205,"foreskin",3315
"SRR1274123","iPSC-derived NPC","normal control",0.0446,"foreskin",5683
"SRR1274124","iPSC-derived NPC","normal control",0.0447,"foreskin",3500
"SRR1274125","iPSC-derived NPC","normal control",0.0279,"foreskin",7102
"SRR1274126","iPSC-derived NPC","normal control",0.0285,"foreskin",4544
"SRR1274127","iPSC-derived NPC","normal control",0.0188,"foreskin",6011
"SRR1274128","iPSC-derived NPC","normal control",0.0185,"foreskin",3684
"SRR1274129","iPSC-derived NPC","normal control",0.0466,"foreskin",5238
"SRR1274130","iPSC-derived NPC","normal control",0.0487,"foreskin",3044
"SRR1274131","iPSC-derived NPC","normal control",0.0266,"foreskin",5948
"SRR1274132","iPSC-derived NPC","normal control",0.0276,"foreskin",3218
"SRR1274133","iPSC-derived NPC","normal control",0.0354,"foreskin",7030
"SRR1274147","epidermal keratinocyte","normal control",0.0257,"foreskin",8017
"SRR1274148","epidermal keratinocyte","normal control",0.0253,"foreskin",6017
"SRR1274149","epidermal keratinocyte","normal control",0.0276,"foreskin",7349
"SRR1274150","epidermal keratinocyte","normal control",0.0274,"foreskin",5478
"SRR1274151","epidermal keratinocyte","normal control",0.0376,"foreskin",6231
"SRR1274152","epidermal keratinocyte","normal control",0.0372,"foreskin",5267
"SRR1274153","epidermal keratinocyte","normal control",0.0396,"foreskin",6433
"SRR1274154","epidermal keratinocyte","normal control",0.0396,"foreskin",5206
"SRR1274155","epidermal keratinocyte","normal control",0.0292,"foreskin",5770
"SRR1274156","epidermal keratinocyte","normal control",0.0291,"foreskin",4630
"SRR1274157","epidermal keratinocyte","normal control",0.0356,"foreskin",7725
"SRR1274158","epidermal keratinocyte","normal control",0.0361,"foreskin",5448
"SRR1274159","epidermal keratinocyte","normal control",0.0462,"foreskin",6668
"SRR1274160","epidermal keratinocyte","normal control",0.0456,"foreskin",4993
"SRR1274161","epidermal keratinocyte","normal control",0.0379,"foreskin",7460
"SRR1274162","epidermal keratinocyte","normal control",0.037,"foreskin",5624
"SRR1274163","epidermal keratinocyte","normal control",0.013,"foreskin",7496
"SRR1274164","epidermal keratinocyte","normal control",0.0129,"foreskin",5477
"SRR1274165","epidermal keratinocyte","normal control",0.0349,"foreskin",7627
"SRR1274166","epidermal keratinocyte","normal control",0.0342,"foreskin",5625
"SRR1274167","epidermal keratinocyte","normal control",0.0309,"foreskin",6740
"SRR1274168","epidermal keratinocyte","normal control",0.03,"foreskin",5367
"SRR1274169","epidermal keratinocyte","normal control",0.0389,"foreskin",5815
"SRR1274170","epidermal keratinocyte","normal control",0.0388,"foreskin",4964
"SRR1274171","epidermal keratinocyte","normal control",0.0374,"foreskin",7012
"SRR1274172","epidermal keratinocyte","normal control",0.0335,"foreskin",5776
"SRR1274173","epidermal keratinocyte","normal control",0.0294,"foreskin",6949
"SRR1274174","epidermal keratinocyte","normal control",0.0297,"foreskin",5527
"SRR1274175","epidermal keratinocyte","normal control",0.0266,"foreskin",6491
"SRR1274176","epidermal keratinocyte","normal control",0.0256,"foreskin",5055
"SRR1274177","epidermal keratinocyte","normal control",0.0405,"foreskin",7046
"SRR1274178","epidermal keratinocyte","normal control",0.0397,"foreskin",5264
"SRR1274179","epidermal keratinocyte","normal control",0.0356,"foreskin",6076
"SRR1274180","epidermal keratinocyte","normal control",0.0357,"foreskin",4334
"SRR1274181","epidermal keratinocyte","normal control",0.0497,"foreskin",6534
