Symbol,logFC,P.Value,adj.P.Val
C1orf51,5.64972641920936,1.10167258544378e-08,4.19878182961453e-08
GDF15,5.57307589375811,2.66316958755336e-34,2.36362641775331e-31
TRPV3,5.40765454488915,2.5704594411664e-08,9.35159536686695e-08
KLHDC7B,5.20695983785152,1.28748274566631e-11,7.38341643499347e-11
CLDN9,4.82898744347526,3.98280417569433e-06,1.0809888485014e-05
MIR3189,4.71039119041393,6.24372259897465e-06,1.65275531600184e-05
TTC24,4.61905518135758,1.02514490834157e-05,2.63794709397629e-05
MKX,4.48199347952836,9.15920576839232e-07,2.69981459926136e-06
DLL4,4.22067824880296,1.65252355785027e-07,5.41676645642162e-07
LHX3,4.208052805202,1.42647069787015e-05,3.58164635146219e-05
PLA2G10,4.19007189715047,1.69103464936207e-05,4.2090683486659e-05
FGF18,4.09815986371056,2.13463934075246e-05,5.24043836050374e-05
LINC00862,4.09457292197303,8.53549171152393e-06,2.22309243319428e-05
IL11,4.09065496345165,3.49643408717199e-15,3.48111851050809e-14
GCM1,4.0707713971025,2.48960524157124e-07,7.94270155638561e-07
RPLP0P2,4.06675306619177,9.47152085954563e-10,4.15658596138949e-09
TNFRSF14,4.04826575679892,1.38145252508888e-32,6.95878707097474e-30
IFITM10,4.01772898025403,3.36948656317666e-23,1.42082557838205e-21
ASGR1,3.90334487344786,2.76912628953751e-06,7.6585510883514e-06
C15orf65,3.90224704151416,1.4800665849498e-30,4.23878029342731e-28
MUC20,3.88590693696732,7.69608732880647e-09,2.99269091663457e-08
GEM,3.88368702865723,5.72008587373796e-35,5.61110318498569e-32
INHBE,3.85767443293138,2.67223616304163e-23,1.14494569210965e-21
GABRR2,3.73779290512393,1.09828575751378e-07,3.68626867432771e-07
TEX101,3.69579396714904,0.000118766465931722,0.00026286300819801
KCP,3.67741299088115,3.13263433047583e-28,4.49123374241603e-26
PLEKHS1,3.67107594975776,5.6377483013499e-05,0.000130545847733333
MIR3180-2,3.62334219265902,0.000156647686377766,0.000341553530499392
MIR3180-3,3.61874286227039,1.63108015354019e-06,4.65366693267198e-06
CALML6,3.60897174134884,1.36529066856177e-14,1.21519997519839e-13
LINC00494,3.54336092668246,7.56537410285551e-08,2.59818394193884e-07
LINC00943,3.53229090939161,0.000913957230891099,0.00177997229564768
SLC2A4,3.51399939739478,1.91502476991342e-20,4.80379968528213e-19
NOD2,3.49690120310929,0.000400048315389154,0.000824789878564498
FAM129A,3.49216856089609,1.4415464269549e-36,2.68675423055854e-33
MTUS2-AS1,3.46572916788852,6.62637223001747e-06,1.74808670379428e-05
C11orf96,3.45860020346347,1.53795787002253e-08,5.75591541796787e-08
TSPAN19,3.45544870654281,0.000307810300305585,0.000644458366332902
FBXO32,3.42611819918662,7.83968345772102e-37,1.62351133650005e-33
HMGB1P20,3.42182084193583,0.000387016627128773,0.000800134874811545
SLC16A11,3.41547453318692,0.000176136768985485,0.000381769636045059
B3GNT7,3.40985396220978,4.57671298359402e-05,0.000107269588264871
FCGR1A,3.38357562522401,0.0010397314817015,0.00200543468446161
VPS37D,3.38273865980306,2.23056760187954e-07,7.16410804132878e-07
HAS1,3.36831947723256,0.000437881795351617,0.000895363785163295
ASB2,3.36196048558777,0.000459313572707882,0.000936310441663513
MIR616,3.34278687029621,3.38468225865443e-07,1.06273092885447e-06
PTGS2,3.33448005054796,3.54307954600667e-39,6.60359165784724e-35
DACT1,3.32959687181282,1.33083621608786e-07,4.41826245020405e-07
MIOX,3.30222682696998,7.86185247053058e-06,2.05568471304362e-05
IL1RN,3.28924564688713,5.32598985216518e-07,1.62650825601597e-06
CTD-3088G3.8,3.27756291217339,1.8825906864437e-13,1.40294782942574e-12
CXCL2,3.2613710357356,3.55390092959894e-28,5.05630576533321e-26
LURAP1L,3.25811078979748,4.18630714376876e-25,2.65389090291028e-23
RORB,3.2399869425754,1.32695806725522e-07,4.40617218198875e-07
LINC00202-1,3.23652613564155,3.07122751353307e-06,8.44021503940273e-06
CRHR2,3.19530145945239,3.14210285465588e-05,7.54379917623035e-05
LINC00334,3.19425040861854,0.0036598539119365,0.00643998840735202
ZSCAN12P1,3.19030478490423,2.71479551271951e-16,3.23312196588283e-15
SESN2,3.16409428537008,3.50931451716517e-35,3.63370022060691e-32
TRIB3,3.15955803417013,1.06164807710829e-38,9.3605893510562e-35
CDKL2,3.1548524793374,5.02818888541526e-05,0.000117125608161099
GOLGA7B,3.15068878538494,3.87650743064005e-05,9.18864879718546e-05
CCDC166,3.15022632504872,0.00102460119104841,0.00197768403052612
DDIT3,3.14361403639019,2.38812636045448e-36,3.70915825884588e-33
CDKN1A,3.14215093036196,1.82477277382941e-38,9.3605893510562e-35
C1orf101,3.10415083169767,3.62752982924386e-11,1.94897379525647e-10
INHBA,3.09856312611032,9.80326964996423e-11,4.94621926735337e-10
ADORA2A-AS1,3.09639976103766,4.66570444251959e-07,1.43592139035139e-06
GNAT1,3.06051045364357,0.000844198336383327,0.00165396495253994
TMEM255B,3.05849735776329,3.8365713537825e-07,1.19495349083887e-06
PHF21B,3.05459350557501,2.19838288563157e-07,7.06926504872347e-07
ARHGAP25,3.05257931048226,1.3959734448256e-05,3.5112217361214e-05
AP001468.1,3.05022814099427,4.85746741608561e-21,1.3696441407111e-19
IDI2-AS1,3.04154630722373,0.00151190165251763,0.00284032083455535
CHAC1,3.0408406694785,5.7661915195184e-30,1.39571789014005e-27
PLAC8L1,3.02989240923087,0.000229906847071632,0.000490275036123694
MX2,3.01183454431396,3.97941718082268e-05,9.40702963568011e-05
HAVCR2,3.00128175291203,6.46096344203831e-07,1.94444431830631e-06
FAM150B,2.99317217740738,0.00040140304131231,0.000827034035372411
MIR3180-1,2.98803490855599,1.76243583979224e-07,5.7517561166254e-07
LSMEM1,2.97646923287355,2.13094339593027e-16,2.5835140890602e-15
SCXA,2.97561605173326,0.000331995732531824,0.000692140543951692
HMX3,2.95338389376411,3.30435694437198e-13,2.37053905809103e-12
HSPD1P10,2.94617925810541,3.64325267677277e-05,8.66219458983173e-05
FAM43A,2.94325203187954,4.42494614892145e-12,2.70046320640465e-11
PRUNE2,2.94292941490962,1.16207664095232e-09,5.0439647028573e-09
PRPH,2.92744063414984,5.79724541943682e-13,4.02567288105303e-12
VWCE,2.91917819261664,1.20315028320045e-07,4.01437790517186e-07
ETV5,2.91334995730116,1.82604607415742e-23,8.06489259008199e-22
BCL2L10,2.9105925458341,0.0024586244935021,0.00444805312656689
C12orf79,2.89518352362731,6.73095976568791e-07,2.02080586522054e-06
NCLP1,2.89460665359866,1.77208115834627e-09,7.51149616312435e-09
MYL4,2.89361257064384,1.7419986025055e-05,4.33129268323072e-05
DBNDD2,2.8912617264864,0.00121790835492698,0.00232147432185815
ACRC,2.87120467753921,1.66550520157788e-17,2.46144580244027e-16
