Ensembl.Gene,DrugA.vs.Ctrl_logFC,DrugA.vs.Ctrl_P.Value,DrugA.vs.Ctrl_adj.P.Val,DrugB.vs.Ctrl_logFC,DrugB.vs.Ctrl_P.Value,DrugB.vs.Ctrl_adj.P.Val,DrugB.vs.DrugA_logFC,DrugB.vs.DrugA_P.Value,DrugB.vs.DrugA_adj.P.Val
ENSG00000125462,3.70468696804762,0.000442905505222687,0.00908126821379586,4.48183784830368,4.08321358078194e-05,0.000111833849696714,0.77319603581804,0.139862501083658,0.17585895535298
ENSG00000132702,3.4394856748137,0.00095221294954606,0.0146672272344128,4.76867945226763,1.40290102321901e-05,4.31046311750015e-05,1.32573173719574,0.0160337577610252,0.0244227833564881
ENSG00000223668,3.23478243834634,0.0139586861815197,0.0839854239838091,2.32354805613772,0.10345913705519,0.134618220918363,-0.919237755198196,0.444368741047444,0.496085330676385
ENSG00000159289,2.9317720369702,0.0039031366145011,0.0365377499854703,5.76530351997811,1.34989472030383e-06,5.51135548675196e-06,2.83011977169871,3.88790829880015e-05,0.000101360798535512
ENSG00000226393,2.86926435562874,0.00563727918109661,0.0462661852093299,3.17693876893465,0.00121882472432154,0.00236753050671233,0.303854744462817,0.6408124865539,0.684164697507681
ENSG00000256618,2.83750925643538,0.181697837075019,0.405931194025787,2.79242813531904,0.0153116849724554,0.0238671225655786,-0.0546061800134168,0.970514606371869,0.976487326363577
ENSG00000116962,2.83383348004832,0.00581831315727723,0.0472241430353186,1.02742224801237,0.101719383201576,0.132548826407815,-1.8117192927537,0.0265565523448244,0.0386899884782958
ENSG00000121104,2.80237389304969,0.00413194020930263,0.0378618985353895,4.40568455901242,4.87820556302523e-05,0.000131103093415522,1.60061129276778,0.00287415677191479,0.00507373876822769
ENSG00000187479,2.59426766994871,0.00887474871429675,0.0624650931031204,6.58241729519986,8.08194291999662e-07,3.51891116963e-06,3.9835966102526,4.96726784370167e-07,2.07764672511023e-06
ENSG00000189056,2.57723750596863,0.00818008360570918,0.0593509839631193,6.03232660372592,4.37934227868368e-06,1.53772007140366e-05,3.45175345398312,3.34830085464635e-06,1.119785238272e-05
ENSG00000183044,2.47409775252153,0.011101657304479,0.0720331387812548,4.15516146561362,7.02315270499374e-05,0.00018102270794589,1.67664145429616,0.00457899786558055,0.00777545209718388
ENSG00000237693,2.46437098119643,0.00384242294478305,0.0360963099016464,0.183989167030518,0.814885266161239,0.842177641716379,-2.2846194273694,0.00559764417305641,0.00934762943261585
ENSG00000167861,2.45753629856438,0.028226949849884,0.13139208074479,3.16195068607227,0.00150777002854831,0.00287398422909423,0.699369730493261,0.298307532633545,0.347982615888294
ENSG00000188738,2.40473575449327,0.00337122290588414,0.0329828118906357,1.81186242213084,0.0135147853040561,0.0212725756690312,-0.597994911280998,0.244353112443096,0.290616636444032
ENSG00000108830,2.37278948516144,0.0411036955898967,0.16622339915737,4.55336745431001,2.97601061186868e-05,8.41682637086624e-05,2.17463933665154,0.00165780512103233,0.00307750715595623
