Ensembl.Gene,DrugA.vs.Ctrl,DrugB.vs.Ctrl,DrugB.vs.DrugA
ENSG00000125462,0.000442906,4.08E-05,0.139862501
ENSG00000132702,0.000952213,1.40E-05,0.016033758
ENSG00000223668,0.013958686,0.103459137,0.444368741
ENSG00000159289,0.003903137,1.35E-06,3.89E-05
ENSG00000226393,0.005637279,0.001218825,0.640812487
ENSG00000256618,0.181697837,0.015311685,0.970514606
ENSG00000116962,0.005818313,0.101719383,0.026556552
ENSG00000121104,0.00413194,4.88E-05,0.002874157
ENSG00000187479,0.008874749,8.08E-07,4.97E-07
ENSG00000189056,0.008180084,4.38E-06,3.35E-06
ENSG00000183044,0.011101657,7.02E-05,0.004578998
ENSG00000237693,0.003842423,0.814885266,0.005597644
ENSG00000167861,0.02822695,0.00150777,0.298307533
ENSG00000188738,0.003371223,0.013514785,0.244353112
ENSG00000108830,0.041103696,2.98E-05,0.001657805
ENSG00000128591,0.022236114,6.15E-06,0.006625521
ENSG00000113140,0.0927897,0.000984164,0.670073889
ENSG00000072182,0.025783863,1.60E-06,1.17E-05
ENSG00000100253,0.025783863,7.75E-08,2.52E-07
ENSG00000188888,0.015391693,0.00134467,0.117480784
ENSG00000155980,0.004276788,1.03E-05,0.001475081
ENSG00000081479,0.038187741,0.007031433,0.698468386
ENSG00000112182,0.000119024,1.27E-05,0.11752021
ENSG00000081148,0.026476157,0.00071677,0.016056223
ENSG00000111405,0.022927911,0.000124263,0.002195875
ENSG00000233029,0.032058731,0.000109107,0.003047036
ENSG00000136695,0.040239757,1.23E-05,0.00042965
ENSG00000215186,0.040239757,1.57E-06,1.74E-05
ENSG00000164591,0.032438626,5.13E-05,0.001067791
ENSG00000157152,0.000903897,0.417852087,0.003410774
ENSG00000154645,0.063374417,5.79E-05,0.001896792
ENSG00000224124,0.014550671,1.66E-05,0.00070001
ENSG00000095932,0.046882043,5.98E-06,1.47E-05
ENSG00000143867,0.039044657,0.003505531,0.106727919
ENSG00000152439,0.061787278,0.040493035,0.994028874
ENSG00000070886,0.047085341,2.90E-06,5.02E-06
ENSG00000186417,0.011325635,0.581280298,0.012637559
ENSG00000132563,0.135956364,0.000149352,0.146816448
ENSG00000248394,0.055746514,0.000279054,0.004500133
ENSG00000264063,0.00778693,0.285843656,0.031638588
ENSG00000178977,6.81E-09,1.02E-08,0.427414207
ENSG00000164076,0.075707953,5.04E-06,3.01E-05
ENSG00000130287,0.075707953,2.22E-05,0.000380954
ENSG00000154553,0.003451761,0.009109804,0.475913295
ENSG00000259238,0.04478152,0.010634286,0.579691615
ENSG00000205978,0.008047311,0.005951898,0.719558117
ENSG00000165238,0.262770298,0.008535838,0.582961233
ENSG00000091656,0.00936946,0.141665652,0.081451884
ENSG00000039600,0.058612874,0.000126855,0.000822924
ENSG00000255145,0.020094105,9.93E-05,0.006491219
ENSG00000060982,0.011288548,0.828021195,0.023981079
ENSG00000225039,0.007850587,0.001632453,0.609813803
ENSG00000169876,0.030470614,0.000940853,0.102163991
ENSG00000250007,0.073856974,0.006640418,0.066079009
ENSG00000168356,0.087685936,1.23E-05,0.000201601
ENSG00000251292,0.087685936,6.52E-06,8.13E-05
ENSG00000175414,0.035472424,0.029514602,0.630585029
ENSG00000204420,0.073608544,1.57E-06,6.75E-07
ENSG00000260898,0.078671408,3.77E-05,1.75E-05
ENSG00000173705,0.070399127,0.00037261,0.002196934
ENSG00000216624,0.035788159,0.031439702,0.729033485
ENSG00000230641,0.023628014,8.70E-05,0.001908414
ENSG00000140107,0.080127238,4.94E-05,0.00027677
ENSG00000154025,0.013323891,2.48E-05,0.00127787
ENSG00000189325,0.081358475,2.13E-05,8.01E-05
ENSG00000224959,0.036401237,0.014131965,0.674904505
ENSG00000079393,0.006397035,0.055176676,0.246164781
ENSG00000260929,0.026682153,1.77E-06,4.26E-06
ENSG00000269843,0.026682153,0.000337378,0.010413214
ENSG00000272556,0.000246278,0.624206833,0.000528475
ENSG00000139364,0.03429658,0.000201652,0.01156747
ENSG00000168676,0.033767368,0.000111946,0.003417877
ENSG00000090920,0.02921188,4.11E-06,5.00E-06
ENSG00000245573,0.010982804,0.477090247,0.013802897
ENSG00000132718,0.012745013,0.114530509,0.173704106
ENSG00000164037,0.019048218,4.32E-05,0.000814105
ENSG00000164796,0.019140715,0.006739691,0.517933846
ENSG00000243116,0.066783789,2.87E-05,0.000938994
ENSG00000218336,0.056500423,0.118598368,0.264851435
ENSG00000164972,0.067953371,5.28E-06,6.54E-05
ENSG00000257543,0.106072219,0.0015093,0.006432852
ENSG00000258791,0.101999587,1.52E-06,1.25E-07
ENSG00000141485,0.119338026,4.09E-06,5.86E-06
ENSG00000165071,0.189353689,1.69E-05,0.000938672
ENSG00000205853,0.189353689,2.14E-06,6.79E-05
ENSG00000126500,0.130193786,0.000685106,0.085006581
ENSG00000260618,0.042803302,0.000151729,0.012502012
