Ensembl_geneID,D14_CHD8_1,D14_CHD8_3,D14_CHD8_4,D14_H9_1,D14_H9_2,D14_H9_5,D21_CHD8_4,D21_CHD8_5,D21_CHD8_6,D21_H9_4,D21_H9_5,D21_H9_6,D7_CHD8_2,D7_CHD8_3,D7_CHD8_5,D7_H9_3,D7_H9_4,D7_H9_5
ENSG00000223972,26,45,0,15,99,81,60,100,42,76,41,82,97,37,6,66,34,41
ENSG00000227232,12,16,23,76,24,89,45,6,72,53,72,96,70,84,53,6,93,75
ENSG00000243485,68,18,82,24,21,6,39,27,14,46,60,89,26,86,21,83,40,87
ENSG00000238009,72,55,82,87,2,29,99,4,58,62,58,38,97,82,11,84,8,31
ENSG00000233750,94,1,91,88,62,8,88,85,61,51,97,2,22,85,4,16,34,83
ENSG00000237683,2,52,0,79,62,53,38,38,70,72,90,70,18,27,100,11,99,12
ENSG00000239906,59,15,3,30,98,36,45,31,22,24,17,20,99,82,80,28,73,68
ENSG00000241860,47,90,43,51,65,39,17,19,62,70,44,68,66,32,31,68,29,65
ENSG00000228463,93,21,50,92,91,88,90,89,37,25,29,62,40,98,79,3,80,91
ENSG00000237094,6,91,77,35,85,49,58,53,41,80,81,77,47,53,71,53,80,13
ENSG00000250575,96,7,21,5,79,39,27,1,22,59,65,48,24,95,53,83,62,4
ENSG00000233653,55,33,44,59,80,38,28,24,92,34,27,37,86,65,22,5,11,86
ENSG00000236679,87,36,57,77,51,21,47,90,22,35,51,93,83,66,76,12,2,36
ENSG00000225972,29,98,38,69,29,39,78,83,50,49,63,2,85,20,70,29,85,18
ENSG00000225630,100,37,79,79,71,37,13,94,82,56,98,52,64,57,21,29,90,80
ENSG00000237973,65,54,89,19,11,98,49,28,22,7,100,44,2,34,18,47,90,72
ENSG00000229344,36,76,34,92,0,100,28,69,93,82,5,41,84,69,100,47,43,91
ENSG00000240409,53,15,72,16,47,72,7,95,56,52,94,50,55,17,80,72,70,86
ENSG00000248527,74,16,82,7,36,23,98,70,12,4,79,78,82,30,94,69,51,78
ENSG00000198744,10,38,19,22,44,46,0,35,19,55,40,100,50,38,82,98,18,38
ENSG00000224956,0,97,98,9,6,59,75,8,33,35,97,45,70,3,35,61,11,33
ENSG00000235373,57,32,21,88,17,97,44,20,3,11,17,5,51,56,7,27,40,42
ENSG00000240618,70,6,89,87,83,78,39,68,82,3,97,96,88,53,76,11,8,69
ENSG00000228327,91,56,45,0,42,28,55,94,28,23,30,26,30,87,82,71,58,43
ENSG00000237491,13,0,19,83,3,49,73,20,69,48,49,4,70,32,53,18,73,45
ENSG00000230092,4,53,2,55,23,51,56,63,25,61,44,48,59,56,5,70,58,19
ENSG00000225880,0,46,69,97,45,94,7,30,9,66,37,18,1,74,7,58,75,78
ENSG00000228794,75,82,45,41,41,85,91,69,88,77,42,3,15,20,2,57,65,11
ENSG00000272438,4,81,37,40,69,10,19,89,76,42,10,86,73,61,4,75,94,52
ENSG00000230699,71,97,2,56,56,37,25,91,55,67,31,36,18,32,23,45,24,68
ENSG00000223764,57,4,53,62,27,96,71,70,64,43,40,36,33,7,78,34,19,5
ENSG00000187634,38,59,41,69,84,88,82,92,70,98,31,7,32,56,38,27,57,19
ENSG00000188976,54,28,44,46,93,65,10,74,65,60,63,89,47,75,95,7,61,91
ENSG00000187961,19,51,69,43,24,93,31,48,61,17,0,92,16,90,37,29,67,29
ENSG00000187583,62,87,93,15,35,32,65,87,70,41,14,39,74,48,83,31,96,55
ENSG00000187642,95,29,84,51,45,87,18,0,27,90,45,15,69,73,30,62,94,80
ENSG00000272512,90,54,97,46,73,42,96,99,49,50,71,52,22,70,72,65,19,48
ENSG00000188290,66,98,80,57,39,33,63,58,99,99,71,64,27,56,65,15,40,6
ENSG00000231702,4,54,24,64,72,18,94,71,46,38,65,17,57,21,8,10,19,6
ENSG00000224969,12,67,6,13,49,85,39,25,100,62,14,12,6,98,83,90,80,8
ENSG00000187608,59,55,43,53,1,58,76,29,85,80,41,8,83,91,23,19,76,71
ENSG00000188157,35,73,86,86,84,28,52,50,7,9,41,66,26,62,37,78,10,54
ENSG00000217801,65,97,25,42,29,68,21,69,8,12,31,2,24,68,48,79,14,82
ENSG00000131591,35,74,37,44,19,41,32,47,94,60,5,100,73,36,92,70,40,83
ENSG00000272141,45,32,63,45,98,71,52,52,43,60,54,39,33,73,34,61,32,94
ENSG00000078808,62,42,99,79,86,3,44,48,1,25,58,12,27,75,3,0,74,6
ENSG00000176022,98,82,73,38,53,7,66,10,31,28,5,43,49,94,18,62,53,22
ENSG00000184163,84,6,2,38,58,19,23,29,90,100,12,43,34,78,70,14,96,44
ENSG00000260179,43,36,73,92,76,10,87,39,99,3,91,72,54,58,51,57,0,59
ENSG00000160087,55,55,41,9,87,58,53,64,20,38,9,48,82,77,97,90,57,55
ENSG00000230415,57,28,78,58,48,13,87,72,72,54,93,65,3,41,91,66,10,4
ENSG00000162572,51,67,1,28,83,79,26,5,19,68,70,23,56,14,67,86,48,68
ENSG00000131584,0,21,18,69,39,3,48,81,23,19,45,21,88,96,19,19,30,12
ENSG00000169972,84,75,79,45,77,46,23,39,36,59,66,88,94,42,78,31,63,34
ENSG00000127054,19,52,98,61,26,6,65,67,39,53,40,96,21,16,37,42,70,86
ENSG00000240731,71,37,52,46,3,97,74,51,40,27,93,11,28,11,71,13,8,23
ENSG00000224051,87,81,70,44,41,77,41,7,41,22,96,28,49,98,9,83,74,42
ENSG00000169962,75,91,21,70,84,82,30,15,26,4,20,7,79,31,83,49,22,43
ENSG00000107404,56,100,25,51,4,33,75,68,59,7,28,84,66,41,89,56,69,36
ENSG00000162576,71,23,63,15,43,41,46,96,44,47,64,2,52,84,29,17,39,32
ENSG00000175756,45,43,79,88,29,15,13,97,56,69,84,24,76,31,32,21,30,24
ENSG00000221978,30,5,13,56,56,82,77,69,74,2,15,7,22,79,92,23,1,58
ENSG00000224870,66,29,71,81,52,83,86,94,69,45,26,87,77,28,53,76,18,25
ENSG00000242485,30,17,92,6,31,26,26,95,80,91,4,13,85,34,47,6,14,74
ENSG00000272455,18,44,32,16,87,69,37,98,68,48,87,48,14,78,20,32,15,94
ENSG00000235098,35,54,47,92,70,64,58,60,14,43,61,28,8,71,60,47,6,44
ENSG00000205116,1,58,46,91,16,50,39,50,64,27,2,53,85,64,55,8,52,39
