"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"SEBRLE",0.467151093271552,0.835950587954018,1.18688812536442,3.18421857168199,1.78116172028753
"CLAY",1.13695339918022,0.463534061191739,7.95974390831067,0.290589297405061,13.8872051737457
"KARPOV",1.37515733703665,0.328936296730362,6.64381957518571,7.95433422496999,2.25236099837891
"BERNARD",0.276939115502601,1.07406569386659,1.37495243545349,11.3801552238144,0.465814431802437
"YURKOV",0.255955040440973,6.37575774915317,2.6058470503104,1.76119387058248,5.57750654130862
"WARNERS",0.0949473837369904,3.98621793696035,1.02011730148162,0.801461010210651,3.57364316096802
"ZSIVOCZKY",0.0550596815784965,1.6797320577879,2.85667866378508,6.06835723788186,0.00691862540107718
"McMULLEN",0.257309050805695,0.0747465869582681,0.30279949941038,5.36173346373323,0.225326894630964
"MARTINEAU",2.96795700064806,0.441878700100351,0.925012827314127,0.678434141759077,8.87157389345219
"HERNU",1.78187536255526,0.334891915070949,1.22725939132596,0.253145029801819,0.196667248727577
"BARRAS",1.34182420485271,0.135724214375283,2.35536142723534e-07,0.960866814488892,0.356314248907327
"NOOL",4.0991270392933,5.42895516819067,3.10092675996127,0.0880280178663021,2.45506833340741
"BOURGUIGNON",11.8024563648168,0.0560836355603949,3.05471240260574,0.634521051554037,0.299572907901746
"Sebrle",12.1575057785989,2.61923435688897,0.145959136160404,8.69588378492017,0.506112589548699
"Clay",11.4510903526921,0.983545343031798,0.0927787486334461,5.15095355501547,3.83474272249607
"Karpov",15.9109805629796,0.0022459492582481,0.00300231083292981,3.98180302223686,0.125526193601018
"Macey",3.71853577648296,1.52378639900925,6.03428844319191,1.27476419912129,3.40171873301438
"Warners",3.50503823468776,4.56532274040642,1.25731003189952,0.186926622799071,0.0816375848929796
"Zsivoczky",0.63800335838081,1.91758148903038,3.78973607912352,1.5051839824081,2.71437829219313
"Hernu",0.589190709378558,0.536979795462908,1.40088948359349,0.0419262738889728,1.43613724665606
"Nool",0.0650068239410959,3.35418609733668,3.18867970208438,11.167049428278,0.00446069502552273
"Bernard",2.70902829664841,0.010337168349829,0.995338244209309,4.85875507032586,0.415739157586946
"Schwarzl",0.00490036585152514,2.57200942567444,1.17441951617539,0.367576264022023,0.296189091149935
"Pogorelov",0.217111711260182,0.834087761853849,3.15282833918289,0.703603008865869,3.3671716867109
"Schoenbeck",0.00976118752122575,0.00222973613672401,0.951706563193229,1.99109322895099,2.60026575107921
"Barras",3.43045781953434e-06,0.182306827954024,4.27755189863738,0.865463896276238,1.62315830810155
"Smith",0.564629938849344,1.5755871737896,4.68886251837135,2.90179582295135,14.532231525947
"Averyanov",0.0908766399084653,3.41099254301844,0.138583436125507,0.00171538193367742,0.464146335754803
"Ojaniemi",0.10770679783,0.837763305712252,0.238880261684922,1.09010676435457,0.887803956196161
"Smirnov",0.174996123541355,1.57956286715886,2.61939649855107,0.739408633690302,0.590541258602743
"Qi",0.140711100156198,0.149351665251984,1.9868678608088,0.0969617294286755,1.02175083712718
"Drews",0.0461010864156445,13.3339171743982,1.93170590824576,0.962421426204811,0.113377797592634
"Parkhomenko",0.852549069575843,6.1517350728685,1.73600747957297,5.43458356717738,0.282860521495476
"Terek",0.34667645764854,0.402798693002167,8.47240187924986,0.0272299389068791,3.87586027068032
"Gomez",0.0626440000303738,2.01078593555227,2.96155740321713,0.0139872656213118,5.66762079783585
"Turi",1.77206163852805,0.256200770210034,0.458814393201633,0.0470920089179694,0.0053398967888039
"Lorenzo",4.32426486218791,3.51808897308733,3.91837110975507,0.209133876223707,1.65647967421205
"Karlivans",2.96501092175752,0.12151137331652,0.203988592962595,3.73443289605739,0.496135607235755
"Korkizoglou",0.683899187637798,5.99523586291618,11.6147048574921,3.27617505286697,2.28463092169738
"Uldal",4.89397381411712,0.0846010649824472,0.304989668237587,0.00103609519898422,5.65059183889645
"Casarsa",6.08502969921556,20.2515398304416,0.00162145956091773,1.25589924760744,2.11425652896146
