"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"SEBRLE",0.791627716889818,0.771611195522031,0.826841194026767,1.17462735970109,0.707159025267266
"CLAY",1.23499056292206,0.574578065338482,2.14124696637125,-0.354844831810389,-1.97457138038149
"KARPOV",1.35821493575796,0.48402090112887,1.95625798689539,-1.8565241133897,0.795214721369389
"BERNARD",-0.609515083106099,-0.8746285288353,0.889940661858791,2.22061244661438,0.361636187310097
"YURKOV",-0.585968337761104,2.13095422255187,-1.22515679680836,0.873579148879046,1.25136918481253
"WARNERS",0.35688953048865,-1.68495666582965,0.766553144919782,-0.58930466163401,1.00166155285217
"ZSIVOCZKY",0.27177478102443,-1.09377557749712,-1.28276738312913,-1.62156456890549,0.0440732747209631
"McMULLEN",0.587516189056045,0.230729911762492,-0.417632982303796,-1.52423274507016,0.25151965449152
"MARTINEAU",-1.9953592980249,0.560995981576428,-0.729946601088989,-0.542191274898776,1.57821348241101
"HERNU",-1.54607646167671,0.488383010941152,0.840785851927498,0.331194700758469,-0.234980288773259
"BARRAS",-1.34165272675232,-0.3109115706853,-0.000368337547673602,-0.645253358964084,0.316287484380174
"NOOL",-2.34497380558554,-1.96637500054907,-1.33648154922897,0.195303100664788,0.830227671549129
"BOURGUIGNON",-3.97904186457913,0.199860189934967,1.32648510341126,0.524350509648876,0.290012474951984
"Sebrle",4.03844850144056,1.36582606354392,-0.289956504280556,1.94113410626325,0.376954543496647
"Clay",3.91936515722823,0.836961362604225,0.23117532047924,1.49397212307958,-1.03760851723488
"Karpov",4.61998727504479,0.0399952288963952,-0.0415857980014149,-1.31352566460304,0.187729529581702
"Macey",2.23346056559798,1.04176620064049,-1.86436201540491,-0.743213527599694,0.977270102978802
"Warners",2.1683964454064,-1.80320025033368,0.851017328709814,-0.28459958118189,-0.151394635339836
"Zsivoczky",0.925132182893894,1.16865179609887,-1.47748029082863,0.807594719922489,0.872972571973333
"Hernu",0.889037851512966,-0.618425215535991,-0.898295347974639,-0.134785076777327,0.634984881209005
"Nool",0.295305666684466,-1.5456166724245,1.35526012856242,2.19972249490431,-0.0353888685779758
"Bernard",1.90633436767713,-0.0858042917983503,-0.757185970885084,-1.45097917804316,0.341645636198385
"Schwarzl",0.081078659391617,-1.3534570993179,0.822486622230375,0.399091434181947,0.288369909808233
"Pogorelov",0.539677027745348,0.770750989698442,1.3476197769273,-0.552156921784442,0.97229497784343
"Schoenbeck",0.114430984607344,-0.0398506080851819,0.740403981031977,0.928847624091083,-0.854425654855976
"Barras",0.00214520276765898,0.360337684807178,-1.56969348876593,0.612383040302613,-0.675065403818858
"Smith",0.870310569720477,1.05932551998098,-1.64342906164826,-1.12132654282101,-2.01990789297044
"Averyanov",0.349155137967596,-1.55864999153451,0.28253540366786,-0.0272633420742684,-0.360988091328652
"Ojaniemi",0.38011399869194,-0.772447342955541,-0.370943141893392,0.687279189841693,-0.49925675545984
"Smirnov",-0.484514212539085,-1.0606611807745,-1.22833784993026,0.566031936417607,-0.407183840918256
"Qi",-0.434466690806404,-0.326146897174339,-1.06979781228963,-0.204974036355172,-0.535596725455925
"Drews",-0.248684024374966,-3.08167683010426,1.05484273745218,-0.64577513419944,-0.178414201355094
"Parkhomenko",-1.06942910427686,2.09318217909003,-0.999983902890106,1.53455271683436,0.281806872986582
"Terek",-0.681953059148253,0.535614397988037,2.20912599970983,0.108623054305784,1.04315649863886
"Gomez",-0.289889207722672,-1.19671610589108,-1.30610258953064,0.0778511599871005,-1.26143769504149
"Turi",-1.54181305558545,0.427167725247222,0.514085944135733,-0.142847382079155,-0.0387196874979777
"Lorenzo",-2.4085099795499,-1.5829296932831,-1.50234610691702,0.301030756727405,-0.681959317842961
"Karlivans",-1.99436872683091,-0.294182396248885,-0.342783693691469,-1.2720699891999,0.373220603330043
"Korkizoglou",-0.957829813260875,2.06638553649894,2.58655252626723,-1.19146757085728,-0.80089104425095
"Uldal",-2.56225959072812,0.245468705080407,-0.419140644466759,-0.0211884168024262,-1.25954120873608
"Casarsa",-2.85708826820858,3.79784504992695,0.0305611909206984,-0.737693704074943,-0.770449632321536
