"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"SEBRLE",0.11167888279106,0.106102622481654,0.121835342511332,0.24588345235558,0.0891175533241706
"CLAY",0.124009414418975,0.0268426546623408,0.372787121123054,0.0102377459260267,0.317010067640033
"KARPOV",0.159918859628662,0.0203091109463721,0.331753059229156,0.298788493925932,0.0548190497379268
"BERNARD",0.0486777757321283,0.10023262158005,0.103772890045756,0.64611132082754,0.0171358469628626
"YURKOV",0.0376996014811887,0.498582119985666,0.164805540094145,0.0837901520224465,0.171933051745222
"WARNERS",0.0216080518084965,0.481643239443646,0.0996856250026193,0.0589152533672975,0.170211933649852
"ZSIVOCZKY",0.0112428873061067,0.182102535369962,0.25046979812388,0.400246959513385,0.00029567199361132
"McMULLEN",0.0526154821608169,0.00811487208254144,0.0265866401404802,0.354141198714307,0.00964312361173969
"MARTINEAU",0.284300717201087,0.0224726991567966,0.0380467809862148,0.0209913701160813,0.177855473617514
"HERNU",0.306104050163825,0.0305441634731741,0.0905269585641199,0.0140466867651326,0.00707082364817775
"BARRAS",0.472468751208356,0.0253726964692202,3.56110549232692e-08,0.109283199784736,0.0262577112782277
"NOOL",0.394346393443343,0.277290231299976,0.128093713611985,0.00273539568937633,0.0494306464706173
"BOURGUIGNON",0.856841588293002,0.00216170343257434,0.0952244065799675,0.0148794510663964,0.00455173405706577
"Sebrle",0.695410207441886,0.0795431443636871,0.0035849051820224,0.160665653027369,0.00605884618831861
"Clay",0.711205186694364,0.0324320409518246,0.00247426605503403,0.103335238901306,0.0498460233149651
"Karpov",0.851755295640967,6.38336468981616e-05,6.90118012739299e-05,0.0688510248584125,0.00140636635291777
"Macey",0.423048639156864,0.0920394999519043,0.294777422165644,0.0468447511613416,0.0809958841131909
"Warners",0.529943708396302,0.36647156693437,0.0816261238828714,0.00912895109264866,0.00258329105170424
"Zsivoczky",0.129997942487177,0.20744318035113,0.331567758073731,0.09906399591861,0.115752424908996
"Hernu",0.237513278769171,0.114926920427524,0.242485454488878,0.00545922522739896,0.121164155963974
"Nool",0.00908564504745592,0.248894782083221,0.19136280478593,0.504136331155582,0.000130480484414243
"Bernard",0.454636588113662,0.000921052214668482,0.0717251303910559,0.263383515052106,0.014602189650806
"Schwarzl",0.00169239077050776,0.47160295621843,0.174158716584776,0.0410045776395887,0.0214085578651904
"Pogorelov",0.0512933333154092,0.104621571914792,0.319836342515261,0.0536930532040317,0.16649037971897
"Schoenbeck",0.00405502306620724,0.000491785777617565,0.169763198756369,0.267174501946364,0.226076082627482
"Barras",9.30428687372223e-07,0.0262522035387748,0.498168323023489,0.0758215580128655,0.092137855144288
"Smith",0.0605678847427438,0.0897331184071951,0.215971187368982,0.100544448353542,0.326254885166861
"Averyanov",0.0191858724906812,0.382333086104685,0.0125629152709082,0.000116977642538264,0.0205083362600556
"Ojaniemi",0.0264423057227385,0.109196661711589,0.0251817719502894,0.0864446225802427,0.0456162409958387
"Smirnov",0.0574631787807471,0.275378451580613,0.369328033526189,0.0784257130146396,0.0405842639909747
"Qi",0.060627868639809,0.0341653466227597,0.367589197163097,0.0134945073907117,0.092137230759187
"Drews",0.00527932037378399,0.8106930136463,0.0949855798912091,0.0355995805447141,0.00271732187337052
"Parkhomenko",0.0941302371859602,0.360611200669817,0.0823021485354042,0.193815622128704,0.00653624490821656
"Terek",0.0431699292677028,0.026630349059214,0.453015797845792,0.00109525789863531,0.101011613701157
"Gomez",0.0123125671987382,0.20982961853734,0.249941919132892,0.000888003535888341,0.233139643766644
"Turi",0.252463659175265,0.0193790417776678,0.0280677044273913,0.00216710525926864,0.000159220550782623
"Lorenzo",0.470800505492191,0.203358941142053,0.183180825593856,0.00735464578179398,0.0377447849685374
"Karlivans",0.543900140983342,0.0118342740661211,0.0160675096304794,0.221273942589859,0.0190475657595849
"Korkizoglou",0.0580609499246422,0.270227872654235,0.423399206786146,0.0898404437061043,0.0405932954956803
"Uldal",0.756601558907436,0.00694405640949365,0.0202460605156519,5.17389953988848e-05,0.182829275785471
"Casarsa",0.337104281342335,0.595650397624804,3.85706982006257e-05,0.0224734167956661,0.0245135075288191
