"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"100m",18.3437695694315,2.01609003465837,2.42049891277131,0.135328581897216,13.3361841507396
"Long.jump",16.8224670664576,6.86855905478805,2.36319120902107,0.980301181872398,0.196456044812349
"Shot.put",11.8435395389872,20.6067854835514,0.0389027576648469,3.43711485909953,1.8041739111304
"High.jump",9.99788709759735,7.06369352890726,4.79362526335536,1.73967751521144,45.0533060914
"400m",14.1162288718291,18.6663744468093,1.23027093854748,0.081241946688621,1.12297135370651
"110m.hurdle",17.0201149476333,3.0133820764931,0.610832247019648,8.00327927474144,3.94311017506465
"Discus",9.32848615005781,21.162245294745,0.131317114091706,6.38020829566223,1.6047240141618
"Pole.vault",0.0774554128091896,1.8725473258673,34.0609002445501,28.7826672742173,15.8991470064415
"Javeline",2.34696326319971,5.78436877641155,10.8071416942105,48.0048024632663,13.5962699278514
"1500m",0.103088081997344,12.9459539777688,43.5433196187678,2.45537860734353,3.44365732469171
