"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"100m",-0.774719828334022,0.187141992738588,-0.184407139278214,-0.037818257440577,0.302196392474239
"Long.jump",0.741899744958766,-0.34542129375929,0.182211052152801,0.101785639967655,0.0366780452383637
"Shot.put",0.622502551052827,0.598303320652211,-0.0233784373354953,0.190591606662851,0.111150823057086
"High.jump",0.571945296008145,0.350293607805049,-0.259511928443798,-0.13559420328719,0.555439570694532
"400m",-0.679609942694548,0.569437776590284,0.131469698605011,0.0293019760523682,-0.0876915653540294
"110m.hurdle",-0.746245323965075,0.228793345392805,-0.0926373798114374,0.290831025317876,0.164320950974641
"Discus",0.552466519304205,0.606313391081457,0.0429522530537323,-0.259671434531017,-0.104827121283193
"Pole.vault",0.0503415130996085,-0.180356869900558,0.691756654919944,0.551533970635593,0.329959317141644
"Javeline",0.27711084602132,0.316989060547782,-0.389655407412129,0.712277280568839,-0.305128920612322
"1500m",-0.0580770579820784,0.474223768686499,0.7821428010829,-0.161089035894959,-0.153561889773319
