"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"100m",0.600190812413896,0.0350221254461698,0.0340059930167748,0.00143022059584175,0.091322659624444
"Long.jump",0.550415231569882,0.119315870182342,0.0332008675266307,0.0103603165036252,0.00134527900250745
"Shot.put",0.387509426067277,0.357966863503463,0.00054655133224968,0.0363251605303271,0.0123545054662676
"High.jump",0.327121421625845,0.122705611669078,0.0673464410046189,0.0183857879650877,0.308513116693326
"400m",0.461869674209287,0.324259381408086,0.0172842816512924,0.00085860580057356,0.00768981063424001
"110m.hurdle",0.55688208353974,0.0523463948960314,0.00858168413832852,0.0845826852874468,0.0270013749292102
"Discus",0.305219254952104,0.367615928204696,0.00184489604239185,0.0674292539113962,0.0109887253565213
"Pole.vault",0.00253426794115806,0.0325286005203268,0.478527269626031,0.304189720765063,0.10887315096858
"Javeline",0.0767904209826515,0.100482064506965,0.151831336525512,0.507338924414541,0.0931036581940405
"1500m",0.0033729446638537,0.224888182787226,0.611747361285805,0.0259496774855675,0.023581253990753
